T,episode,config,range,cost,velocity,result
1,0,"*aMM0*bMN1*cNM1*dML2*eLM2^ab^ac^ad^ae,0,3",-0.0013065790990367,1973.30615234375,3.575066089630127,Failure
2,0,"*aMM0*bMN1*cNM1*dML2*eLM2^ab^ac^ad^ae,90,3",0.0006238622008822,1769.122802734375,0.799445629119873,Failure
3,0,"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0^ab^ac^ad^ae^cf,90,3",-0.0007675055530853,2928.28564453125,3.739310741424561,Failure
4,0,"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1^ab^ac^ad^ae^cf^dg^eg,90,3",-0.0027357707731425,3161.874267578125,5.615206718444824,Failure
5,0,"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2^ab^ac^ad^ae^cf^dg^eg^bh^ch,90,3",-0.0015628583496436,3450.81884765625,5.900286674499512,Failure
6,0,"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2^ab^ac^ad^ae^cf^dg^eg^bh^ch^di,90,3",-0.0009414335945621,3651.850830078125,5.641960620880127,Failure
7,0,"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj,90,3",-0.0065174340270459,3561.30859375,5.816547870635986,Failure
8,0,"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk,90,3",-0.0008368188282474,4903.0810546875,5.69847583770752,Failure
9,0,"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl,90,3",-0.0037370794452726,4610.8564453125,5.121817111968994,Failure
10,0,"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km,90,3",-0.001808452187106,4850.21337890625,4.821925163269043,Failure
11,0,"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn,90,3",-0.010517000220716,4615.10986328125,1.965927600860596,Failure
12,0,"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4*oNK2^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn^io^lo,90,3",-0.0034991949796676,5028.203125,4.178630828857422,Failure
13,0,"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4*oNK2*pNJ1^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn^io^lo^op,90,3",-0.0035876114852726,6390.47119140625,3.754567861557007,Failure
14,0,"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4*oNK2*pNJ1*qOJ4^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn^io^lo^op^pq,90,3",-0.0055310768075287,6462.220703125,4.225095748901367,Failure
15,0,"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4*oNK2*pNJ1*qOJ4*rMJ3^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn^io^lo^op^pq^pr^ir,90,3",-0.0055773612111806,6930.41845703125,3.0289206504821777,Failure
16,0,"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4*oNK2*pNJ1*qOJ4*rMJ3*sNO3^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn^io^lo^op^pq^pr^ir^hs,90,3",-0.004815949127078,7148.01171875,3.106147289276123,Failure
17,0,"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4*oNK2*pNJ1*qOJ4*rMJ3*sNO3*tLJ0^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn^io^lo^op^pq^pr^ir^hs^rt,90,3",-0.0063879624940454,7776.0166015625,3.217172622680664,Failure
18,0,"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4*oNK2*pNJ1*qOJ4*rMJ3*sNO3*tLJ0*uMO4^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn^io^lo^op^pq^pr^ir^hs^rt^su^bu,90,3",-7.150989404181018e-05,7840.06884765625,2.664612293243408,Failure
19,0,"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4*oNK2*pNJ1*qOJ4*rMJ3*sNO3*tLJ0*uMO4*vPO4^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn^io^lo^op^pq^pr^ir^hs^rt^su^bu^mv,90,3",0.0003143827780149,7896.708984375,2.794541835784912,Failure
20,0,"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4*oNK2*pNJ1*qOJ4*rMJ3*sNO3*tLJ0*uMO4*vPO4*wPJ0^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn^io^lo^op^pq^pr^ir^hs^rt^su^bu^mv^qw,90,3",-0.0042668706737458,8770.39453125,3.010872840881348,Failure
21,0,"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4*oNK2*pNJ1*qOJ4*rMJ3*sNO3*tLJ0*uMO4*vPO4*wPJ0*xOK1^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn^io^lo^op^pq^pr^ir^hs^rt^su^bu^mv^qw^ox^qx,90,3",-0.0059523275122046,8984.548828125,3.2332332134246826,Failure
22,0,"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4*oNK2*pNJ1*qOJ4*rMJ3*sNO3*tLJ0*uMO4*vPO4*wPJ0*xOK1*yPP2^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn^io^lo^op^pq^pr^ir^hs^rt^su^bu^mv^qw^ox^qx^vy,90,3",-0.0072271763347089,8831.78125,3.744690179824829,Failure
23,0,"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4*oNK2*pNJ1*qOJ4*rMJ3*sNO3*tLJ0*uMO4*vPO4*wPJ0*xOK1*yPP2*zPM0^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn^io^lo^op^pq^pr^ir^hs^rt^su^bu^mv^qw^ox^qx^vy^fz^mz,90,3",0.0093863476067781,9477.2822265625,2.5041322708129883,Failure
24,0,"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4*oNK2*pNJ1*qOJ4*rMJ3*sNO3*tLJ0*uMO4*vPO4*wPJ0*xOK1*yPP2*zPM0*!PL1^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn^io^lo^op^pq^pr^ir^hs^rt^su^bu^mv^qw^ox^qx^vy^fz^mz^z!,90,3",0.018645092844963,10334.263671875,1.8791518211364744,Failure
25,0,"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4*oNK2*pNJ1*qOJ4*rMJ3*sNO3*tLJ0*uMO4*vPO4*wPJ0*xOK1*yPP2*zPM0*!PL1*@MP2^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn^io^lo^op^pq^pr^ir^hs^rt^su^bu^mv^qw^ox^qx^vy^fz^mz^z!^u@,90,3",0.0146557027474045,10368.578125,2.2086992263793945,Failure
26,0,"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4*oNK2*pNJ1*qOJ4*rMJ3*sNO3*tLJ0*uMO4*vPO4*wPJ0*xOK1*yPP2*zPM0*!PL1*@MP2*#KK2^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn^io^lo^op^pq^pr^ir^hs^rt^su^bu^mv^qw^ox^qx^vy^fz^mz^z!^u@^j#,90,3",0.0105508277192711,11131.525390625,2.16560697555542,Failure
