config,range,cost,velocity,result
"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1^ab^ac^ad^ae^cf^dg^eg,90,3",-0.6535292,3390.0,1.704165,CouldNotStabilize
"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2^ab^ac^ad^ae^cf^dg^eg^bh^ch,90,3",-0.59949,3468.0,1.931789,CouldNotStabilize
"*aMM0*bMN1*cNM1*dML2*eLM2^ab^ac^ad^ae,90,3",-0.719671,1912.0,3.38357e-06,CouldNotStabilize
"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj,90,3",-0.6540888,3626.101,3.114426,CouldNotStabilize
"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk,90,3",-0.6359547,5026.101,2.906356,CouldNotStabilize
"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0^ab^ac^ad^ae^cf,90,3",-0.6662237,3312.0,0.8469362,CouldNotStabilize
"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2^ab^ac^ad^ae^cf^dg^eg^bh^ch^di,90,3",-0.6539086,3546.0,3.500659,CouldNotStabilize
"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km,90,3",-0.661637,5106.202,3.057174,CouldNotStabilize
"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl,90,3",-0.6359611,5026.101,2.906501,CouldNotStabilize
"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn,90,3",-0.6616589,5106.202,3.055693,CouldNotStabilize
"*aMM0*bMN1*cNM1*dML2*eLM2^ab^ac^ad^ae,0,3",7.203063,1912.0,13.56145,Success
"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4*oNK2^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn^io^lo,90,3",-0.6573734,5184.202,3.156812,CouldNotStabilize
"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4*oNK2*pNJ1*qOJ4*rMJ3*sNO3^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn^io^lo^op^pq^pr^ir^hs,90,3",-0.572012,5422.403,1.930572,CouldNotStabilize
"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4*oNK2*pNJ1*qOJ4^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn^io^lo^op^pq,90,3",-0.6462245,5262.202,3.902839,CouldNotStabilize
"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4*oNK2*pNJ1^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn^io^lo^op,90,3",-0.6462228,5262.202,3.903134,CouldNotStabilize
"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4*oNK2*pNJ1*qOJ4*rMJ3*sNO3*tLJ0*uMO4^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn^io^lo^op^pq^pr^ir^hs^rt^su^bu,90,3",-0.5665196,6822.403,1.953657,CouldNotStabilize
"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4*oNK2*pNJ1*qOJ4*rMJ3*sNO3*tLJ0^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn^io^lo^op^pq^pr^ir^hs^rt,90,3",-0.5667346,6822.403,1.937889,CouldNotStabilize
"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4*oNK2*pNJ1*qOJ4*rMJ3*sNO3*tLJ0*uMO4*vPO4^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn^io^lo^op^pq^pr^ir^hs^rt^su^bu^mv,90,3",-0.5667378,6822.403,1.938759,CouldNotStabilize
"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4*oNK2*pNJ1*qOJ4*rMJ3^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn^io^lo^op^pq^pr^ir,90,3",-0.6404829,5342.303,3.329781,CouldNotStabilize
"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4*oNK2*pNJ1*qOJ4*rMJ3*sNO3*tLJ0*uMO4*vPO4*wPJ0^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn^io^lo^op^pq^pr^ir^hs^rt^su^bu^mv^qw,90,3",-0.6007183,8222.403,1.457675,CouldNotStabilize
"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4*oNK2*pNJ1*qOJ4*rMJ3*sNO3*tLJ0*uMO4*vPO4*wPJ0*xOK1^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn^io^lo^op^pq^pr^ir^hs^rt^su^bu^mv^qw^ox^qx,90,3",-0.5933737,8300.403,1.681689,CouldNotStabilize
"*aMM0*bMN1*cNM1*dML2*eLM2*fOM0*gLL1*hNN2*iMK2*jKL3*kON0*lNL4*mPN3*nKM4*oNK2*pNJ1*qOJ4*rMJ3*sNO3*tLJ0*uMO4*vPO4*wPJ0*xOK1*yPP2^ab^ac^ad^ae^cf^dg^eg^bh^ch^di^gj^hk^fk^dl^cl^km^en^jn^io^lo^op^pq^pr^ir^hs^rt^su^bu^mv^qw^ox^qx^vy,90,3",-0.4720179,8378.403,2.534212,CouldNotStabilize
