config,range,cost,velocity,result
"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0++*gNL0++*hOM1++*iMO2++*jMK2++*kKM1++^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^fc^gb,26,3",31.62121,7608.154,22.8658,Success
"*aMM0++++++++++*bNM2+*cMN1++++++*dLM2++++++++++*eML1+++++++++^ab^ac^ad^ae,45,3",0.0,7034.313,11.07721,CouldNotStabilize
"*aMM0+++++*bNM2++++*cMN1++++*dLM2++++*eML1++++*fNN3+*gLL3*hLN4*iNL4^ab^ac^ad^ae^cf^eg^ch^ei^bf^dg^dh^ib,10,3",14.92987,3930.721,7.104887,Success
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------*gNL3----------^ab^ac^ad^ae^df^eg^cf^ge,11,3",0.1891775,1783.309,5.952632,Success
"*aMM0+++++*bNM2++++*cMN1++++*dLM2++++*eML1++++*fNN3+*gLL3+*hLN4*iNL4^ab^ac^ad^ae^cf^eg^bf^dg^ch^dh^ei^ib,10,3",15.28104,3935.29,6.844157,Success
"*aMM0++++*bNM1+++*cMN2+++*dLM1+++*eML2+++*fLN4++*gNL0++*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^fc^gb,60,3",0.0,5803.625,53.26212,CouldNotStabilize
"*aMM0+++++*bNM2+++++*cMN1+++++*dLM2+++++*eML1+++++*fNN3---*gLL3-------*iLN3------*hNL3------^ab^ac^ad^ae^cf^eg^ci^eh,10,3",7.476394,4377.899,10.97453,Success
"*aMM0*bNM0*cMN4*dLM4*eML4^ab^ac^ad^ae,24,2",0.0,3000.0,1.681638e-06,CouldNotStabilize
"*aMM0+++++++++*bNM4*cMN4*dLM4*eML4*fKM2+++*gMK1+++*hMO1++++*iOM2++++*jNN4*kLL4*lLN3+++++++++++++*mNL3+++++++++++++^ab^ac^ad^ae^df^eg^ch^bi^bj^dk^cl^bm^cj^ke^ld^me,20,3",10.03884,5094.965,9.758023,Success
"*aMM0+*bNM2+*cMN1+*dLM2+*eML1+*fOM4*gNN4*hNL3*iMO4*jLN3*kKM4*lLL4*mMK4^ab^ac^ad^ae^bf^bg^bh^ci^cj^dk^dl^em^cg^dj^eh^el,5,2",21.33672,2361.344,9.596923,Success
"*aMM0++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fMO1++*gKM2++*hMK1++*iOM2++*jNL0+*kLN0+^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,54,3",16.8088,6966.184,22.77608,Success
"*aMM0*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0++*gNL0++*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^fc^gb,99,3",6.621777,6760.454,21.23084,Success
"*aMM0++*bNM2*cMN1*dLM2*eML1*fOM4*gNN4*hNL4*iMO4*jLN4*kKM4*lLL4*mMK4^ab^ac^ad^ae^bf^bg^bh^ci^cj^dk^dl^em^cg^dj^eh^el,4,1",1.511018,2291.977,18.6636,HitBoundary
"*aMM0+*bNM3+++*cMN3+++*dLM3+++*eML3+++*fOM1++++*gMO2+++++*hKM1+++++*iMK2++++++^ab^ac^ad^ae^bf^cg^dh^ei,20,3",0.0,3659.06,0.2704427,CouldNotStabilize
"*aMM0+++++++*bNM1+++*cMN2+++*dLM1+++*eML2+++*fLN0+*gNL0+*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^fc^eg^gb^bh^ci^ej^dk,72,3",15.37283,7982.313,17.84062,Success
"*aMM0+++*bNM2+*cMN1+*dLM2+*eML1*fOM4*gNN4*hNL4*iMO4*jLN4*kKM4*lLL4*mMK4^ab^ac^ad^ae^bf^bg^bh^ci^cj^dk^el^em^cg^dj^eh,6,2",0.0,2585.422,21.76679,CouldNotStabilize
"*aMM2++++++++++++++++*bML3----------------*cNL2++++++++++++++++*dNK1++++++++*eNM2++++*fNJ0++++++++++++++++*gOK2----------------*hMN4++++*iMK1----------------*jOJ1++++++++*kLN4----------------*lKN3++++++++++++++++*mOL3++++++++*nLM3++++++++++++++++*oMJ2----------------*pPJ1----------------*qPK4----------------*rPL1++++++++++++++++*sKM1++++++++++++++++*tLO1++++++++++++++++*uLP0----------------*vLK4++^ab^bc^cd^ce^df^dg^ah^di^fj^hk^kl^gm^an^io^jp^pq^mr^ls^kt^tu^iv,70,3",0.0,27116.67,3.835004,CouldNotStabilize
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------------*gNL3------------^ab^ac^ad^ae^df^eg^cf,5,3",0.0,1769.341,0.1246779,CouldNotStabilize
