config,range,cost,velocity,result
"*aMM0--*bNM2*cMN1*dLM2*eML1^ab^ac^ad^ae,0,3",4.31244,1590.357,30.39588,Success
"*aMM0-----*bNM1++*cMN2++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0+*kLN0+^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,55,3",9.388887,5437.669,27.62562,Success
"*aMM0-*bNM1+++*cMN2+++*dLM1+++*eML2+++*fLN0++*gNL0++*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^fc^eg^gb^bh^ci^ej^dk,84,3",8.963787,6592.644,24.67192,Success
"*aMM0--*bNM1+*cMN2+*dLM2+*eML1+*fLN3--------*gNL3--------^ab^ac^ad^ae^df^eg^bf^cg,5,3",10.33258,1795.73,10.36918,Success
"*aMM0-*bNM1+++*cMN2+++*dLM1+++*eML2+++*fLN0+*gNL0+*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^fc^eg^gb^bh^ci^ej^dk^dc^ee^ef^bg^bh^ci,85,3",6.696513,6197.477,22.53652,Success
"*aMM0*bNM1+++*cMN1+++*dLM2+++*eML2+++*fLN0++*gNL0++*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^fc^eg^gb^bh^ci^ej^dk,60,3",15.23349,6760.454,30.81898,Success
"*aMM0*bNM2*cMN1*dLM2*eML1*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0*kLN0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,45,3",12.51622,5512.251,27.58902,Success
"*aMM0-*bNM1+++*cMN2+++*dLM1+++*eML2+++*fNL0++*gLN0++^ab^ac^ad^ae^ef^dg,30,3",24.5097,5792.394,31.11542,Success
"*aMM0*bNM1++*cMN2++*dLM1++*eML2++*fLN0++*gNL0++*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^fc^eg^gb^bh^ci^ej^dk,54,3",16.83158,6538.204,28.05889,Success
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3----*gNL3----^ab^ac^ad^ae^cf^bg,6,3",12.36684,1977.874,10.18685,Success
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------------------*gNL3----------------------^ab^ac^ad^ae^cf^df^eg^gb,8,3",6.325751,2051.552,12.98537,Success
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------*gNL3-------^ab^ac^ad^ae^cf^eg,7,3",8.96612,1956.199,9.788964,Success
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----------------------*gNL3-----------------------^ab^ac^ad^ae^cf^eg,8,3",6.1906,2048.533,13.1514,Success
