config,range,cost,velocity
"*aMM0--*bNM1+*cMN2+*dLM2+*eML1+*fLN3--------*gNL3--------^ab^ac^ad^ae^df^eg^bf^cg,5,3",10.33302116,1795.730347,10.36899567
"*aMM0-----*bNM1++*cMN1++*dLM2++*eML2++*fOM2++*gMO1++*hKM2++*iMK1++*jPM4*kON4*lOL4*mNO4*nMP4*oLO4*pKN4*qJM4*rKL4*sNK4*tLK4*uMJ4*vLN0+++++++++*wNL0+++++++++*xOK1+++++*yNJ4*zOJ4*!PK4*@PL4*#OO4*$NN2+++++*%KO2+++++*&LP4*(KP4*)LL1+++++*_KK4^ab^ac^ad^ae^bf^cg^dh^ei^fj^fk^fl^gm^gn^go^hp^hq^hr^is^it^iu^dv^ew^sx^uy^yz^x!^!@^k#^b$^p%^o&^%(^t)^t_^vc^bw^lx^ys^zx^@j^m#^c$^$m^$m^$k^vo^p%^%o^o&^&n^%(^pv^wl^sw^l)^)s^))^)d^r)^t_^r)^t_^@v^l$^km,28,3",43.92681122,10805.28418,21.63676453
"*aMM0*bNM1++*cMN2++*dLM1++*eML2++*fLN0++*gNL0++*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^fc^eg^gb^bh^ci^ej^dk,54,3",16.83164024,6538.203613,28.05912971
"*aMM0-----*bNM1++*cMN2++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0+*kLN0+^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,55,3",9.388931274,5437.668945,27.62555313
"*aMM0*bNM1+++*cMN1+++*dLM2+++*eML2+++*fLN0++*gNL0++*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^fc^eg^gb^bh^ci^ej^dk,60,3",15.32188129,6760.453613,27.68815613
"*aMM0-*bNM1+++*cMN2+++*dLM1+++*eML2+++*fLN0+*gNL0+*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^fc^eg^gb^bh^ci^ej^dk^dc^ee^ef^bg^bh^ci,85,3",6.707682133,6197.477051,22.47097778
"*aMM0-*bNM1+++*cMN2+++*dLM1+++*eML2+++*fLN0++*gNL0++*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^fc^eg^gb^bh^ci^ej^dk,84,3",8.907818794,6592.644043,24.60648918
"*aMM0-*bNM1+++*cMN2+++*dLM1+++*eML2+++*fNL0++*gLN0++^ab^ac^ad^ae^ef^dg,30,3",24.51033974,5792.393555,31.11438942
"*aMM0*bNM2*cMN1*dLM2*eML1*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0*kLN0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,45,3",12.51629066,5512.250977,27.59066963
"*aMM0--*bNM2*cMN1*dLM2*eML1^ab^ac^ad^ae,0,3",4.312452316,1590.356567,30.39561462
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3----*gNL3----^ab^ac^ad^ae^cf^bg,6,3",12.36741352,1977.87439,10.18672848
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------*gNL3-------^ab^ac^ad^ae^cf^df^eg^bg,4,3",74.44608307,1802.365112,9.877236366
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------------------*gNL3----------------------^ab^ac^ad^ae^cf^df^eg^gb,8,3",6.325809956,2051.552002,12.98541737
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3---*gNL3---^ab^ac^ad^ae^cf^eg,2,3",74.57408142,1985.710815,9.106291771
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----*gNL3-----^ab^ac^ad^ae^cf^eg,7,3",11.57107353,2138.157471,10.52999878
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------*gNL3-------^ab^ac^ad^ae^cf^eg,7,3",8.96709919,1956.198853,9.788865089
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----*gNL3-----^ab^ac^ad^ae^cf^eg,8,3",8.909672737,2138.157471,10.81205177
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----------------------*gNL3-----------------------^ab^ac^ad^ae^cf^eg,8,3",6.190659523,2048.533447,13.15105152
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3-*gNL3-^ab^ac^ad^ae^cf^eg,8,33",9.709971428,2170.148193,10.30228043
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3--*gNL3--^ab^ac^ad^ae^cf^eg,9,3",8.73251152,2161.67334,9.499185562
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----*gNL3-----^ab^ac^ad^ae^cf^eg,9,3",8.238453865,2138.157471,9.890526772
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3---------------------*gNL3----------------------^ab^ac^ad^ae^cf^eg,9,3",5.417509556,2053.159912,12.34325981
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------------*gNL3----------------^ab^ac^ad^ae^df^bg,2,3",15.89070034,1752.381714,10.77239323
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------*gNL3-------^ab^ac^ad^ae^df^bg^cf,5,3",14.23510551,1802.365112,10.1511364
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------------------*gNL3-------------------^ab^ac^ad^ae^df^bg^ef,8,3",6.742736816,2061.816162,12.65549183
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----------*gNL3-----------^ab^ac^ad^ae^df^bg^ef^cg^bg,5,3",5.838984013,1777.510254,10.8256216
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3-*gNL3-^ab^ac^ad^ae^df^bg^ef^cg^eg,6,3",16.72938919,2170.148193,9.808789253
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3------------------*gNL3------------------^ab^ac^ad^ae^df^ef^bg^bg,2,3",11.82585907,1744.017944,11.20654869
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3---------------*gNL3---------------^ab^ac^ad^ae^df^ef^bg^bg,6,3",6.325189114,1910.746582,12.01744461
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------------------*gNL3--------------------^ab^ac^ad^ae^df^ef^bg^bg,6,3",5.07942915,1890.377197,13.04422474
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------------------*gNL3-------------------^ab^ac^ad^ae^df^ef^bg^bg,7,3",4.595582962,1894.006348,12.19216633
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3---------------*gNL3---------------^ab^ac^ad^ae^df^ef^bg^bg,9,3",6.865856647,2078.556396,11.18436241
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------------------------*gNL3---------------------------^ab^ac^ad^ae^df^ef^cg^bg,0,3",19.35999107,1715.601929,13.33196545
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------------*gNL3--------------^ab^ac^ad^ae^df^ef^cg^bg,5,3",4.268924713,1761.684937,11.20667744
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------------*gNL3-------------^ab^ac^ad^ae^df^ef^cg^bg,7,3",6.404345512,1920.538086,10.97759533
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------------*gNL3----------------^ab^ac^ad^ae^df^ef^cg^bg,9,3",6.736697674,2074.025391,11.29103565
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3------------------*gNL3------------------^ab^ac^ad^ae^df^ef^cg^bg,9,3",6.461595058,2065.661621,11.50379753
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3------------*gNL3------------^ab^ac^ad^ae^df^ef^cg^eg,6,3",7.66520071,1925.811157,11.48443127
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------------------*gNL3----------------------^ab^ac^ad^ae^df^ef^cg^eg,6,3",4.535067558,1883.742065,13.50258827
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3---*gNL3---^ab^ac^ad^ae^df^ef^cg^eg,7,3",12.24097729,2153.520752,10.25740623
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3------------*gNL3------------^ab^ac^ad^ae^df^ef^cg^eg,8,3",7.763175488,2093.621094,11.77652454
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------------*gNL3----------------^ab^ac^ad^ae^df^ef^cg^eg,8,3",7.161246777,2074.025391,12.31226444
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3------------------*gNL3------------------^ab^ac^ad^ae^df^ef^cg^eg,8,3",6.881635189,2065.661621,12.56412125
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------*gNL3----------^ab^ac^ad^ae^df^ef^cg^eg5,5,3",6.060528755,1783.309204,10.77346611
