config,range,cost,velocity
"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++^ab^ac^ad^ae,5,3",9.999299,3470.2,20.00051
"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++^ab^ac^ad^ae,5,3",9.999299,3470.2,20.00051
"*aMM0----*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0-*gNL0-*hNN4*iLL4^ab^ac^ad^ae^df^eg^ch^di^ei,31,3",10.56484,4274.816,29.05723
"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++^ab^ac^ad^ae,5,3",9.999299,3470.2,20.00051
"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN1*gNL2^ab^ac^ad^ae^df^eg,5,3",10.02341,3626.201,20.1972
"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN3*gNL3^ab^ac^ad^ae^df^eg,5,3",17.05821,3630.402,10.18146
"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN3*gNL3^ab^ac^ad^ae^df^eg,5,3",17.05821,3630.402,10.18146
"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++^ab^ac^ad^ae,5,3",9.999299,3470.2,20.00051
"*aMM0+++++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0*gNL0^ab^ac^ad^ae^df^eg^gb^fc,5,3",45.87556,6817.277,21.75431
"*aMM0+++++*bNM2++++*cMN1+++*dLM2++++*eML1+++*fLN0+*gNL0+^ab^ac^ad^ae^df^eg^gb^fc,5,3",48.62803,6782.861,25.45822
"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fNL3*gLN3^ab^ac^ad^ae^ef^dg,5,3",17.05821,3630.402,10.18146
"*aMM0+++++++++*bNM2++*cMN1++*dLM2++*eML1++*fNL3+++++++*gLN3+++++++*hOM2*iMO1*jKM2*kMK1^ab^ac^ad^ae^ef^dg^bh^ci^dj^ek^bf^cg,18,3",12.34063,4961.001,9.450129
"*aMM0+++*bNM2++*cMN1++*dLM2++*eML1++*fNL3+++++++*gLN3+++++++*hOM2*iMO1*jKM2*kMK1*lON2*mNN4*nNO1*oLL4*pKL2*qLK1^ab^ac^ad^ae^ef^dg^bh^ci^dj^ek^bf^cg^hl^bm^ml^cm^in^mn^do^jp^op^eo^kq^oq,60,3",0.7984699,3626.91,6.629955
"*aMM0+++*bNM2++*cMN1++*dLM2++*eML1++*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0+*kLN0+^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^kc,56,3",15.91996,6736.396,24.36254
"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++^ab^ac^ad^ae,5,3",9.999299,3470.2,20.00051
"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++^ab^ac^ad^ae,5,3",9.999299,3470.2,20.00051
"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++^ab^ac^ad^ae,5,3",9.999299,3470.2,20.00051
"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++^ab^ac^ad^ae,5,3",9.999299,3470.2,20.00051
"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++^ab^ac^ad^ae,5,3",9.999299,3470.2,20.00051
"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++^ab^ac^ad^ae,5,3",9.999299,3470.2,20.00051
"*aMM0----*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0-*gNL0-*hNN4*iLL4^ab^ac^ad^ae^df^eg^ch^di^ei^bg^fc^hb,31,3",10.60419,4274.816,29.17576
"*aMM0----*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0-*gNL0-*hNN4*iLL4^ab^ac^ad^ae^df^eg^ch^di^ei^bg^fc^hb,31,3",10.60419,4274.816,29.17576
